"ADDRESS","ANNUALREVENUE","CITY","CLEANSTATUS","COMPANY","COMPANYDUNSNUMBER","CONVERTEDACCOUNTID","CONVERTEDCONTACTID","CONVERTEDDATE","CONVERTEDOPPORTUNITYID","COUNTRY","CREATEDBYID","CREATEDDATE","DANDBCOMPANYID","DESCRIPTION","EMAIL","CURRENTGENERATORS__C","EMAILBOUNCEDDATE","EMAILBOUNCEDREASON","FAX","FIRSTNAME","GEOCODEACCURACY","ID","INDIVIDUALID","INDUSTRY","ISDELETED","ISUNREADBYOWNER","JIGSAW","ISCONVERTED","JIGSAWCONTACTID","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTNAME","LASTREFERENCEDDATE","LASTVIEWEDDATE","LATITUDE","LONGITUDE","MASTERRECORDID","LEADSOURCE","MOBILEPHONE","NAME","NUMBEROFEMPLOYEES","NUMBEROFLOCATIONS__C","OWNERID","PHONE","PHOTOURL","POSTALCODE","PRIMARY__C","PRODUCTINTEREST__C","RATING","SICCODE__C","SALUTATION","STATE","STREET","STATUS","SYSTEMMODSTAMP","TITLE","WEBSITE"
"","","","Pending","Greenwich Media","","","","","","USA","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","norm_may@greenwich.net","All","","","","Norm","","00Q2w00000O7PN4EAN","","","false","true","","false","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","May","","","","","","Web","","Norm May","","130.0","0052w00000B4VTyAAN","(419) 289-3555","/services/images/photo/00Q2w00000O7PN4EAN","","Yes","GC5000 series","","2768","Mr","OH","","Working - Contacted","2023-01-12T23:20:38.000Z","VP, Facilities",""
"","3.5E8","Burlington","Pending","Burlington Textiles Corp of America","","","","","","USA","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","jrogers@btca.com","John Deere","","","(336) 222-8000","Jack","","00Q2w00000O7PNAEA3","","Apparel","false","true","","false","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","Rogers","","","","","","Web","","Jack Rogers","9000","3.0","0052w00000B4VTyAAN","(336) 222-7000","/services/images/photo/00Q2w00000O7PNAEA3","27215","Yes","GC5000 series","Warm","7267","Mr.","NC","525 S. Lexington Ave","Closed - Converted","2023-01-12T23:20:38.000Z","VP, Facilities",""
"","","","Pending","Pacific Retail Group","","","","","","USA","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","eluce@pacificretail.com","All","","","","Eugena","","00Q2w00000O7PNCEA3","","","false","true","","false","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","Luce","","","","","","Purchased List","","Eugena Luce","","130.0","0052w00000B4VTyAAN","(781) 270-6500","/services/images/photo/00Q2w00000O7PNCEA3","","Yes","GC5000 series","","2768","Ms","MA","","Closed - Not Converted","2023-01-12T23:20:38.000Z","CEO",""
"","","","Pending","Aethna Home Products","","","","","","USA","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","kakin@athenahome.com","All","","","","Kristen","","00Q2w00000O7PN7EAN","","","false","true","","false","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","Akin","","","","","","Partner Referral","","Kristen Akin","","130.0","0052w00000B4VTyAAN","(434) 369-3100","/services/images/photo/00Q2w00000O7PN7EAN","","Yes","GC5000 series","","2768","Ms","VA","","Working - Contacted","2023-01-12T23:20:38.000Z","Director, Warehouse Mgmt",""
"","","","Pending","Highland Manufacturing Ltd.","","","","","","USA","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","sandra_e@highland.net","All","","","","Sandra","","00Q2w00000O7PNDEA3","","","false","true","","false","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","Eberhard","","","","","","Purchased List","","Sandra Eberhard","","130.0","0052w00000B4VTyAAN","(626) 440-0700","/services/images/photo/00Q2w00000O7PNDEA3","","Yes","GC5000 series","","2768","Ms","CA","","Working - Contacted","2023-01-12T23:20:38.000Z","VP, Production",""
"","","","Pending","Pyramid Construction Inc.","","","","","","France","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","pat@pyramid.net","All","","","","Pat","","00Q2w00000O7PN5EAN","","","false","true","","false","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","Stumuller","","","","","","Phone Inquiry","","Pat Stumuller","","130.0","0052w00000B4VTyAAN","33562156600","/services/images/photo/00Q2w00000O7PN5EAN","","Yes","GC5000 series","","2768","Ms","","","Closed - Converted","2023-01-12T23:20:38.000Z","SVP, Administration and Finance",""
"","","","Pending","Zenith Industrial Partners","","","","","","USA","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","bill_dadio@zenith.com","John Deere","","","","Bill","","00Q2w00000O7PNBEA3","","","false","true","","false","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","Dadio Jr","","","","","","Web","","Bill Dadio Jr","","3.0","0052w00000B4VTyAAN","(614) 431-5000","/services/images/photo/00Q2w00000O7PNBEA3","","Yes","GC5000 series","","7267","Mr","OH","","Closed - Not Converted","2023-01-12T23:20:38.000Z","CFO",""
"","","","Pending","Delphi Chemicals","","","","","","USA","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","tom.james@delphi.chemicals.com","All","","","","Tom","","00Q2w00000O7PN1EAN","","","false","true","","false","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","James","","","","","","Web","","Tom James","","130.0","0052w00000B4VTyAAN","(952) 346-3500","/services/images/photo/00Q2w00000O7PN1EAN","","Yes","GC5000 series","","2768","Mr","MN","","Working - Contacted","2023-01-12T23:20:38.000Z","SVP, Production",""
"","","","Pending","Abbott Insurance","","","","","","USA","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","pcotton@abbottins.net","All","","","","Phyllis","","00Q2w00000O7PMuEAN","","","false","true","","false","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","Cotton","","","","","","Web","","Phyllis Cotton","","130.0","0052w00000B4VTyAAN","(703) 757-1000","/services/images/photo/00Q2w00000O7PMuEAN","","Yes","GC5000 series","","2768","Ms","VA","","Open - Not Contacted","2023-01-12T23:20:38.000Z","CFO",""
"","","","Pending","Metropolitan Health Services","","","","","","USA","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","likeb@metro.com","All","","","","Mike","","00Q2w00000O7PMwEAN","","","false","true","","false","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","Braund","","","","","","Purchased List","","Mike Braund","","130.0","0052w00000B4VTyAAN","(410) 381-2334","/services/images/photo/00Q2w00000O7PMwEAN","","Yes","GC5000 series","","2768","Mr","MD","","Open - Not Contacted","2023-01-12T23:20:38.000Z","VP, Technology",""
